fishID,KPdays_scored,KPstatus_day_15,KPstatus_day_18,KPdid_fish_ascend_days_15_to_18,KPfirst_status_recorded,KPlast_status_recorded,KPprop_dom,KPprop_int,KPprop_sub,KPprop_not_sub,KPnumber_status_transitions,KPaverage_status,KPdid_fish_ascend_firstday_to_lastday
round1malepurple,2,NA,NA,NA,sub,sub,0,0,1,0,0,sub,0
round1maleblue,5,NA,int,NA,sub,intb,0,0.6,0.4,0.6,2,int,1
round1maleblack,6,NA,dom,NA,intb,int,0.5,0.3333333333333333,0.16666666666666666,0.8333333333333334,3,NA,0
round1maleorange,2,NA,NA,NA,int,int,0,1,0,1,0,int,0
round1maleyellow,1,NA,NA,NA,sub,NA,0,0,1,0,0,sub,NA
round1malewhite,5,NA,sub,NA,sub,sub,0,0,1,0,0,sub,0
round1malegreen,2,NA,NA,NA,sub,sub,0,0,1,0,0,sub,0
round1malepink,5,NA,dom,NA,int,int,0.6,0.4,0,1,2,dom,0
round2malepurple,3,int,NA,NA,sub,inta,0,0.6666666666666666,0.3333333333333333,0.6666666666666666,2,int,1
round2maleblue,3,sub,NA,NA,sub,sub,0,0,1,0,0,sub,0
round2maleblack,6,sub,int,1,sub,int,0,0.6666666666666666,0.3333333333333333,0.6666666666666666,1,int,1
round2maleorange,6,int,int,0,sub,int,0,0.6666666666666666,0.3333333333333333,0.6666666666666666,3,int,1
round2maleyellow,3,sub,NA,NA,sub,sub,0,0,1,0,0,sub,0
round2malewhite,3,sub,NA,NA,sub,sub,0,0,1,0,0,sub,0
round2malegreen,6,sub,sub,0,sub,sub,0,0,1,0,0,sub,0
round2malepink,6,sub,int,1,sub,int,0,0.6666666666666666,0.3333333333333333,0.6666666666666666,2,int,1
round3malepurple,3,sub,NA,NA,sub,sub,0,0,1,0,0,sub,0
round3maleblue,1,NA,NA,NA,sub,NA,0,0,1,0,0,sub,NA
round3maleblack,3,sub,NA,NA,sub,sub,0,0,1,0,0,sub,0
round3maleorange,6,int,sub,0,sub,sub,0,0.3333333333333333,0.6666666666666666,0.3333333333333333,2,sub,0
round3maleyellow,2,int,NA,NA,sub,inta,0,0.5,0.5,0.5,1,NA,1
round3malewhite,7,int,int,0,sub,sub,0,0.5714285714285714,0.42857142857142855,0.5714285714285714,4,int,0
round3malegreen,5,sub,sub,0,sub,sub,0,0,1,0,0,sub,0
round3malepink,3,sub,NA,NA,sub,sub,0,0,1,0,0,sub,0
round4malepurple,3,dom,NA,NA,intb,dom,0.3333333333333333,0.6666666666666666,0,1,2,int,1
round4maleblue,6,int,sub,0,sub,int,0,0.5,0.5,0.5,4,NA,1
round4maleblack,3,dom,NA,NA,intb,dom,0.3333333333333333,0.6666666666666666,0,1,2,int,1
round4maleorange,3,sub,NA,NA,sub,sub,0,0,1,0,0,sub,0
round4maleyellow,6,sub,dom,1,sub,int,0.16666666666666666,0.3333333333333333,0.5,0.5,3,NA,1
round4malewhite,3,int,NA,NA,sub,int,0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1,sub,1
round4malegreen,5,sub,dom,1,sub,dom,0.6,0,0.4,0.6,1,dom,1
round4malepink,6,sub,dom,1,sub,dom,0.5,0.16666666666666666,0.3333333333333333,0.6666666666666666,2,NA,1
round5malepurple,3,sub,NA,NA,sub,sub,0,0,1,0,0,sub,0
round5maleblue,3,sub,NA,NA,sub,sub,0,0,1,0,0,sub,0
round5maleblack,2,NA,NA,NA,inta,dom,0.5,0.5,0,1,1,NA,1
round5maleorange,3,int,NA,NA,sub,intb,0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1,sub,1
round5maleyellow,6,int,sub,0,sub,sub,0,0.16666666666666666,0.8333333333333334,0.16666666666666666,2,sub,0
round5malewhite,6,int,sub,0,sub,sub,0,0.16666666666666666,0.8333333333333334,0.16666666666666666,2,sub,0
round5malegreen,6,sub,sub,0,sub,sub,0,0,1,0,0,sub,0
round5malepink,6,sub,int,1,sub,dom,0.16666666666666666,0.5,0.3333333333333333,0.6666666666666666,3,NA,1
round6malepurple,3,dom,NA,NA,sub,dom,0.3333333333333333,0,0.6666666666666666,0.3333333333333333,1,sub,1
round6maleblue,2,NA,NA,NA,sub,dom,0.5,0,0.5,0.5,1,NA,1
round6maleblack,7,sub,sub,0,sub,sub,0,0.14285714285714285,0.8571428571428571,0.14285714285714285,2,sub,0
round6maleorange,2,sub,NA,NA,sub,sub,0,0,1,0,0,sub,0
round6maleyellow,6,int,int,0,sub,int,0,0.8333333333333334,0.16666666666666666,0.8333333333333334,2,int,1
round6malewhite,6,sub,int,1,sub,int,0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1,sub,1
round6malegreen,6,sub,sub,0,sub,sub,0,0.3333333333333333,0.6666666666666666,0.3333333333333333,2,sub,0
round6malepink,2,NA,NA,NA,sub,sub,0,0,1,0,0,sub,0
round7malepurple,3,int,NA,NA,sub,int,0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1,sub,1
round7maleblue,6,sub,dom,1,sub,int,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,3,NA,1
round7maleblack,1,NA,NA,NA,sub,NA,0,0,1,0,0,sub,NA
round7maleorange,3,int,NA,NA,int,inta,0.3333333333333333,0.6666666666666666,0,1,2,int,0
round7maleyellow,6,sub,sub,0,sub,sub,0,0,1,0,0,sub,0
round7malewhite,6,sub,int,1,sub,sub,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.3333333333333333,3,sub,0
round7malegreen,6,sub,sub,0,sub,sub,0,0.3333333333333333,0.6666666666666666,0.3333333333333333,3,sub,0
round7malepink,3,int,NA,NA,sub,int,0,0.6666666666666666,0.3333333333333333,0.6666666666666666,2,int,1
round8malepurple,3,sub,NA,NA,sub,sub,0,0,1,0,0,sub,0
round8maleblue,3,sub,NA,NA,sub,sub,0,0,1,0,0,sub,0
round8maleblack,3,dom,NA,NA,sub,dom,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,2,NA,1
round8maleorange,6,sub,sub,0,sub,sub,0,0,1,0,0,sub,0
round8maleyellow,6,sub,sub,0,sub,sub,0,0,1,0,0,sub,0
round8malewhite,6,sub,sub,0,sub,sub,0,0,1,0,0,sub,0
round8malegreen,6,sub,dom,1,sub,int,0.16666666666666666,0.5,0.3333333333333333,0.6666666666666666,4,NA,1
round8malepink,3,sub,NA,NA,sub,sub,0,0,1,0,0,sub,0
